No,q1Title,q1Body,q2Title,q2Body,q1 Title + body,Length of cell,top,top5,top10,,,top,top5,top10
11,Python integer incrementing with ++,"<p>I've always laughed to myself when I've looked back at my VB6 days and thought, &quot;What modern language doesn't allow incrementing with double plus signs?&quot;:</p>
<pre><code>number++
</code></pre>
<p>To my surprise, I can't find anything about this in the Python docs. Must I really subject myself to <code>number = number + 1</code>? Don't people use the <code>++</code> / <code>--</code> notation?</p>
",Why are there no ++ and --â€‹ operators in Python?,"<p>Why are there no <code>++</code> and <code>--</code> operators in Python?</p>
","Python integer incrementing with ++ <p>I've always laughed to myself when I've looked back at my VB6 days and thought, &quot;What modern language doesn't allow incrementing with double plus signs?&quot;:</p>
<pre><code>number++
</code></pre>
<p>To my surprise, I can't find anything about this in the Python docs. Must I really subject myself to <code>number = number + 1</code>? Don't people use the <code>++</code> / <code>--</code> notation?</p>
",449,0,0,0,,,0,0,0
12,not None test in Python,"<p>Out of these not None tests.</p>

<pre><code>if val != None:

if not (val is None):

if val is not None:
</code></pre>

<p>Which one is preferable, and why?</p>
",Python `if x is not None` or `if not x is None`?,"<p>I've always thought of the <code>if not x is None</code> version to be more clear, but Google's <a href=""https://google.github.io/styleguide/pyguide.html?showone=True/False_evaluations#True/False_evaluations"" rel=""noreferrer"">style guide</a> and <a href=""https://www.python.org/dev/peps/pep-0008/#programming-recommendations"" rel=""noreferrer"">PEP-8</a> both use <code>if x is not None</code>. Are there any minor performance differences (I'm assuming not), and is there any case where one really doesn't fit (making the other a clear winner for my convention)?*</p>
<p>*I'm referring to any singleton, rather than just <code>None</code>.</p>
<blockquote>
<p>...to compare singletons like
None. Use is  or is not.</p>
</blockquote>
","not None test in Python <p>Out of these not None tests.</p>

<pre><code>if val != None:

if not (val is None):

if val is not None:
</code></pre>

<p>Which one is preferable, and why?</p>
",188,1,1,1,,,1,1,1
13,What is the purpose and use of **kwargs?,"<p>What are the uses for <code>**kwargs</code> in Python?</p>

<p>I know you can do an <code>objects.filter</code> on a table and pass in a <code>**kwargs</code> argument. &nbsp;</p>

<p>Can I also do this for specifying time deltas i.e. <code>timedelta(hours = time1)</code>? </p>

<p>How exactly does it work? Is it classes as 'unpacking'? Like <code>a,b=1,2</code>?</p>
","**kwargs not passing variables to function, what's wrong?","<p>What do <code>*args</code> and <code>**kwargs</code> mean?</p>
<pre><code>def foo(x, y, *args):
def bar(x, y, **kwargs):
</code></pre>
","What is the purpose and use of **kwargs? <p>What are the uses for <code>**kwargs</code> in Python?</p>

<p>I know you can do an <code>objects.filter</code> on a table and pass in a <code>**kwargs</code> argument. &nbsp;</p>

<p>Can I also do this for specifying time deltas i.e. <code>timedelta(hours = time1)</code>? </p>

<p>How exactly does it work? Is it classes as 'unpacking'? Like <code>a,b=1,2</code>?</p>
",414,1,1,1,,,1,1,1
14,How can I get the concatenation of two lists in Python without modifying either one?,"<p>In Python, the only way I can find to concatenate two lists is <code>list.extend</code>, which modifies the first list. Is there any concatenation function that returns its result without modifying its arguments?</p>
",How to concatenate all lists (each lists are made my for loop) ,"<p>How do I concatenate two lists in Python?</p>

<p>Example:</p>

<pre><code>listone = [1, 2, 3]
listtwo = [4, 5, 6]
</code></pre>

<p>Expected outcome:</p>

<pre><code>&gt;&gt;&gt; joinedlist
[1, 2, 3, 4, 5, 6]
</code></pre>
","How can I get the concatenation of two lists in Python without modifying either one? <p>In Python, the only way I can find to concatenate two lists is <code>list.extend</code>, which modifies the first list. Is there any concatenation function that returns its result without modifying its arguments?</p>
",305,1,1,1,,,0,1,1
15,Split string with multiple delimiters in Python,"<p>I found some answers online, but I have no experience with regular expressions, which I believe is what is needed here.</p>

<p>I have a string that needs to be split by either a ';' or ', '
That is, it has to be either a semicolon or a comma followed by a space. Individual commas without trailing spaces should be left untouched</p>

<p>Example string:</p>

<pre><code>""b-staged divinylsiloxane-bis-benzocyclobutene [124221-30-3], mesitylene [000108-67-8]; polymerized 1,2-dihydro-2,2,4- trimethyl quinoline [026780-96-1]""
</code></pre>

<p>should be split into a list containing the following:</p>

<pre><code>('b-staged divinylsiloxane-bis-benzocyclobutene [124221-30-3]' , 'mesitylene [000108-67-8]', 'polymerized 1,2-dihydro-2,2,4- trimethyl quinoline [026780-96-1]') 
</code></pre>
",Split Strings into words with multiple word boundary delimiters,"<p>I think what I want to do is a fairly common task but I've found no reference on the web. I have text with punctuation, and I want a list of the words. </p>

<pre><code>""Hey, you - what are you doing here!?""
</code></pre>

<p>should be</p>

<pre><code>['hey', 'you', 'what', 'are', 'you', 'doing', 'here']
</code></pre>

<p>But Python's <code>str.split()</code> only works with one argument, so I have all words with the punctuation after I split with whitespace. Any ideas?</p>
","Split string with multiple delimiters in Python <p>I found some answers online, but I have no experience with regular expressions, which I believe is what is needed here.</p>

<p>I have a string that needs to be split by either a ';' or ', '
That is, it has to be either a semicolon or a comma followed by a space. Individual commas without trailing spaces should be left untouched</p>

<p>Example string:</p>

<pre><code>""b-staged divinylsiloxane-bis-benzocyclobutene [124221-30-3], mesitylene [000108-67-8]; polymerized 1,2-dihydro-2,2,4- trimethyl quinoline [026780-96-1]""
</code></pre>

<p>should be split into a list containing the following:</p>

<pre><code>('b-staged divinylsiloxane-bis-benzocyclobutene [124221-30-3]' , 'mesitylene [000108-67-8]', 'polymerized 1,2-dihydro-2,2,4- trimethyl quinoline [026780-96-1]') 
</code></pre>
",840,0,1,1,,,0,1,1
16,What's the idiomatic syntax for prepending to a short python list?,"<p>I have an integer and a list. I would like to make a new list of them beginning with the variable and ending with the list.
Writing <code>a + list</code> I get errors. The compiler handles <code>a</code> as integer, thus I cannot use append, or extend either. 
How would you do this?</p>
",How do I prepend to a short python list?,"<p><code>list.append()</code> is the obvious choice for adding to the end of a list.  Here's a <a href=""http://mail.python.org/pipermail/tutor/2005-March/036803.html"">reasonable explanation</a> for the missing <code>list.prepend()</code>.  Assuming my list is short and performance concerns are negligible, is </p>

<pre><code>list.insert(0, x)
</code></pre>

<p>or </p>

<pre><code>list[0:0] = [x]
</code></pre>

<p>idiomatic?</p>
","What's the idiomatic syntax for prepending to a short python list? <p>I have an integer and a list. I would like to make a new list of them beginning with the variable and ending with the list.
Writing <code>a + list</code> I get errors. The compiler handles <code>a</code> as integer, thus I cannot use append, or extend either. 
How would you do this?</p>
",358,1,1,1,,,1,1,1
17,Add a new item to a dictionary in Python,"<p>I want to add an item to an existing dictionary in Python. For example, this is my dictionary:</p>

<pre><code>default_data = {
            'item1': 1,
            'item2': 2,
}
</code></pre>

<p>I want to add a new item such that:</p>

<pre><code>default_data = default_data + {'item3':3}
</code></pre>

<p>How can I achieve this?</p>
",How to add new objects to nested dictionary?,"<p>How do I add a key to an existing dictionary? It doesn't have an <code>.add()</code> method.</p>
","Add a new item to a dictionary in Python <p>I want to add an item to an existing dictionary in Python. For example, this is my dictionary:</p>

<pre><code>default_data = {
            'item1': 1,
            'item2': 2,
}
</code></pre>

<p>I want to add a new item such that:</p>

<pre><code>default_data = default_data + {'item3':3}
</code></pre>

<p>How can I achieve this?</p>
",380,0,1,1,,,0,1,1
18,"What is the python keyword ""with"" used for?","<p>What is the python keyword ""with"" used for?</p>

<p>Example from: <a href=""http://docs.python.org/tutorial/inputoutput.html"" rel=""noreferrer"">http://docs.python.org/tutorial/inputoutput.html</a></p>

<pre><code>&gt;&gt;&gt; with open('/tmp/workfile', 'r') as f:
...     read_data = f.read()
&gt;&gt;&gt; f.closed
True
</code></pre>
","What is the python ""with"" statement designed for?","<p>I came across the Python <code>with</code> statement for the first time today.  I've been using Python lightly for several months and didn't even know of its existence!  Given its somewhat obscure status, I thought it would be worth asking:</p>

<ol>
<li>What is the Python <code>with</code> statement
designed to be used for?   </li>
<li>What do
you use it for? </li>
<li>Are there any
gotchas I need to be aware of, or
common anti-patterns associated with
its use?  Any cases where it is better use <code>try..finally</code> than <code>with</code>?</li>
<li>Why isn't it used more widely?</li>
<li>Which standard library classes are compatible with it?</li>
</ol>
","What is the python keyword ""with"" used for? <p>What is the python keyword ""with"" used for?</p>

<p>Example from: <a href=""http://docs.python.org/tutorial/inputoutput.html"" rel=""noreferrer"">http://docs.python.org/tutorial/inputoutput.html</a></p>

<pre><code>&gt;&gt;&gt; with open('/tmp/workfile', 'r') as f:
...     read_data = f.read()
&gt;&gt;&gt; f.closed
True
</code></pre>
",379,0,0,0,,,0,0,0
19,How to set the current working directory?,"<p>How to set the current working directory in Python?</p>
",change current working directory in python,"<p><code>cd</code> is the shell command to change the working directory.</p>
<p>How do I change the current working directory in Python?</p>
","How to set the current working directory? <p>How to set the current working directory in Python?</p>
",101,1,1,1,,,1,1,1
20,Is it possible to break a long line to multiple lines in Python?,"<p>Just like C, you can break a long line into multiple short lines. But in <a href=""http://en.wikipedia.org/wiki/Python_%28programming_language%29"" rel=""noreferrer"">Python</a>, if I do this, there will be an indent error... Is it possible?</p>
",How to break an import line in python?,"<p>Given:</p>
<pre><code>e = 'a' + 'b' + 'c' + 'd'
</code></pre>
<p>How do I write the above in two lines?</p>
<pre><code>e = 'a' + 'b' +
    'c' + 'd'
</code></pre>
","Is it possible to break a long line to multiple lines in Python? <p>Just like C, you can break a long line into multiple short lines. But in <a href=""http://en.wikipedia.org/wiki/Python_%28programming_language%29"" rel=""noreferrer"">Python</a>, if I do this, there will be an indent error... Is it possible?</p>
",310,0,1,1,,,0,1,1
21,How can I find script's directory?,"<p>Consider the following Python code:</p>

<pre><code>import os
print os.getcwd()
</code></pre>

<p>I use <code>os.getcwd()</code> to <a href=""http://www.faqs.org/docs/diveintopython/regression_path.html"" rel=""noreferrer"">get the script file's directory location</a>. When I run the script from the command line it gives me the correct path whereas when I run it from a script run by code in a Django view it prints <code>/</code>.</p>

<p>How can I get the path to the script from within a script run by a Django view?</p>

<p><strong>UPDATE:</strong><br>
Summing up the answers thus far - <code>os.getcwd()</code> and <code>os.path.abspath()</code> both give the current working directory which may or may not be the directory where the script resides. In my web host setup <code><code>__file__</code></code> gives only the filename without the path.</p>

<p>Isn't there any way in Python to (always) be able to receive the path in which the script resides?</p>
",How do you properly determine the current script directory?,"<p>I would like to see what is the best way to determine the current script directory in Python.</p>
<p>I discovered that, due to the many ways of calling Python code, it is hard to find a good solution.</p>
<p>Here are some problems:</p>
<ul>
<li><code>__file__</code> is not defined if the script is executed with <code>exec</code>, <code>execfile</code></li>
<li><code>__module__</code> is defined only in modules</li>
</ul>
<p>Use cases:</p>
<ul>
<li><code>./myfile.py</code></li>
<li><code>python myfile.py</code></li>
<li><code>./somedir/myfile.py</code></li>
<li><code>python somedir/myfile.py</code></li>
<li><code>execfile('myfile.py')</code> (from another script, that can be located in another directory and that can have another current directory.</li>
</ul>
<p>I know that there is no perfect solution, but I'm looking for the best approach that solves most of the cases.</p>
<p>The most used approach is <code>os.path.dirname(os.path.abspath(__file__))</code> but this really doesn't work if you execute the script from another one with <code>exec()</code>.</p>
<h2>Warning</h2>
<p>Any solution that uses current directory will fail, this can be different based on the way the script is called or it can be changed inside the running script.</p>
","How can I find script's directory? <p>Consider the following Python code:</p>

<pre><code>import os
print os.getcwd()
</code></pre>

<p>I use <code>os.getcwd()</code> to <a href=""http://www.faqs.org/docs/diveintopython/regression_path.html"" rel=""noreferrer"">get the script file's directory location</a>. When I run the script from the command line it gives me the correct path whereas when I run it from a script run by code in a Django view it prints <code>/</code>.</p>

<p>How can I get the path to the script from within a script run by a Django view?</p>

<p><strong>UPDATE:</strong><br>
Summing up the answers thus far - <code>os.getcwd()</code> and <code>os.path.abspath()</code> both give the current working directory which may or may not be the directory where the script resides. In my web host setup <code><code>__file__</code></code> gives only the filename without the path.</p>

<p>Isn't there any way in Python to (always) be able to receive the path in which the script resides?</p>
",1000,0,1,1,,,0,1,1
22,if else in a list comprehension,"<p>I have a list <code>l</code>:</p>

<pre><code>l = [22, 13, 45, 50, 98, 69, 43, 44, 1]
</code></pre>

<p>For numbers above 45 inclusive, I would like to add 1; and for numbers less than it, 5.</p>

<p>I tried</p>

<pre><code>[x+1 for x in l if x &gt;= 45 else x+5]
</code></pre>

<p>But it gives me a syntax error. How can I achieve an <code>if</code> &ndash; <code>else</code> like this in a list comprehension?</p>
",Is it possible to use 'else' in a list comprehension?,"<p>How do I replace all the <code>None</code>s with empty strings, and then call some function <code>f</code>?</p>
<pre><code>[f(x) for x in xs if x is not None else '']
</code></pre>
","if else in a list comprehension <p>I have a list <code>l</code>:</p>

<pre><code>l = [22, 13, 45, 50, 98, 69, 43, 44, 1]
</code></pre>

<p>For numbers above 45 inclusive, I would like to add 1; and for numbers less than it, 5.</p>

<p>I tried</p>

<pre><code>[x+1 for x in l if x &gt;= 45 else x+5]
</code></pre>

<p>But it gives me a syntax error. How can I achieve an <code>if</code> &ndash; <code>else</code> like this in a list comprehension?</p>
",451,1,1,1,,,1,1,1
23," What does if __name__ == ""__main__"": do?","<p>I've seen some code samples and tutorials that use</p>

<pre><code>def main():
    # my code here

if __name__ == ""__main__"":
    main()
</code></pre>

<p>But why? Is there any reason not do define your functions at the top of the file, then just write code under it? ie</p>

<pre><code>def my_function()
    # my code here

def my_function_two()
    # my code here

# some code
# call function
# print(something)
</code></pre>

<p>I just wonder if there is any rhyme to the main?</p>
","Purpose of 'if __name__ == ""__main__"":'","<p>What does this do, and why should one include the <code>if</code> statement?</p>
<pre><code>if __name__ == &quot;__main__&quot;:
    print(&quot;Hello, World!&quot;)
</code></pre>
"," What does if __name__ == ""__main__"": do? <p>I've seen some code samples and tutorials that use</p>

<pre><code>def main():
    # my code here

if __name__ == ""__main__"":
    main()
</code></pre>

<p>But why? Is there any reason not do define your functions at the top of the file, then just write code under it? ie</p>

<pre><code>def my_function()
    # my code here

def my_function_two()
    # my code here

# some code
# call function
# print(something)
</code></pre>

<p>I just wonder if there is any rhyme to the main?</p>
",530,0,1,1,,,0,1,1
24,Split string on whitespace in Python,"<p>I'm looking for the Python equivalent of </p>

<pre><code>String str = ""many   fancy word \nhello    \thi"";
String whiteSpaceRegex = ""\\s"";
String[] words = str.split(whiteSpaceRegex);

[""many"", ""fancy"", ""word"", ""hello"", ""hi""]
</code></pre>
",Split a string with unknown number of spaces as separator in Python,"<p>I need a function similar to <code>str.split(' ')</code> but there might be more than one space, and different number of them between the meaningful characters. Something like this:</p>
<pre><code>s = ' 1234    Q-24 2010-11-29         563   abc  a6G47er15        '
ss = s.magic_split()
print(ss)  # ['1234', 'Q-24', '2010-11-29', '563', 'abc', 'a6G47er15']
</code></pre>
<p>Can I somehow use regular expressions to catch those spaces in between?</p>
","Split string on whitespace in Python <p>I'm looking for the Python equivalent of </p>

<pre><code>String str = ""many   fancy word \nhello    \thi"";
String whiteSpaceRegex = ""\\s"";
String[] words = str.split(whiteSpaceRegex);

[""many"", ""fancy"", ""word"", ""hello"", ""hi""]
</code></pre>
",281,0,1,1,,,0,1,1
25,String comparison in Python: is vs. ==,"<p>I noticed a Python script I was writing was acting squirrelly, and traced it to an infinite loop, where the loop condition was <code>while line is not ''</code>. Running through it in the debugger, it turned out that line was in fact <code>''</code>. When I changed it to <code>!=''</code> rather than <code>is not ''</code>, it worked fine. </p>

<p>Also, is it generally considered better to just use '==' by default, even when comparing int or Boolean values? I've always liked to use 'is' because I find it more aesthetically pleasing and pythonic (which is how I fell into this trap...), but I wonder if it's intended to just be reserved for when you care about finding two objects with the same id.</p>
",Why does comparing strings using either '==' or 'is' sometimes produce a different result?,"<p>Two string variables are set to the same value. <code>s1 == s2</code> always returns <code>True</code>, but <code>s1 is s2</code> sometimes returns <code>False</code>.</p>
<p>If I open my Python interpreter and do the same <code>is</code> comparison, it succeeds:</p>
<pre><code>&gt;&gt;&gt; s1 = 'text'
&gt;&gt;&gt; s2 = 'text'
&gt;&gt;&gt; s1 is s2
True
</code></pre>
<p>Why is this?</p>
","String comparison in Python: is vs. == <p>I noticed a Python script I was writing was acting squirrelly, and traced it to an infinite loop, where the loop condition was <code>while line is not ''</code>. Running through it in the debugger, it turned out that line was in fact <code>''</code>. When I changed it to <code>!=''</code> rather than <code>is not ''</code>, it worked fine. </p>

<p>Also, is it generally considered better to just use '==' by default, even when comparing int or Boolean values? I've always liked to use 'is' because I find it more aesthetically pleasing and pythonic (which is how I fell into this trap...), but I wonder if it's intended to just be reserved for when you care about finding two objects with the same id.</p>
",751,0,0,0,,,0,0,0
26,How to make a flat list out of a list of lists,"<p>Is the a short syntax for joining a list of lists into a single list( or iterator) in python?</p>

<p>For example I have a list as follows and I want to iterate over a,b and c.  </p>

<pre><code>x = [[""a"",""b""], [""c""]]
</code></pre>

<p>The best I can come up with is as follows.</p>

<pre><code>result = []
[ result.extend(el) for el in x] 

for el in result:
  print el
</code></pre>
",join list of lists in python,"<p>I want to flatten this list of lists:</p>
<pre><code>[[1, 2, 3], [4, 5, 6], [7], [8, 9]]
</code></pre>
<p>into:</p>
<pre><code>[1, 2, 3, 4, 5, 6, 7, 8, 9]
</code></pre>
","How to make a flat list out of a list of lists <p>Is the a short syntax for joining a list of lists into a single list( or iterator) in python?</p>

<p>For example I have a list as follows and I want to iterate over a,b and c.  </p>

<pre><code>x = [[""a"",""b""], [""c""]]
</code></pre>

<p>The best I can come up with is as follows.</p>

<pre><code>result = []
[ result.extend(el) for el in x] 

for el in result:
  print el
</code></pre>
",435,0,0,0,,,0,0,0
